2016/1/2,1,1,1,normal,normal,info,23,英甲,2016/1/2 23:00,切斯特菲尔德,什鲁斯伯里,切斯特菲尔德,谢斯伯利,2.14,3.3,2.82,4.45,4,1.53,-1,7:1,7,1,3,3
2016/1/2,1,1,1,normal,normal,info,24,英甲,2016/1/2 23:00,克鲁,考文垂,克鲁,考文垂,5.05,3.85,1.5,2.2,3.4,2.65,1,0:5,0,5,0,0
2016/1/2,1,1,1,normal,normal,info,25,英甲,2016/1/2 23:00,福利特伍德,贝里,福利特伍德,伯利,2.14,3.3,2.83,4.65,3.85,1.53,-1,2:0,2,0,3,3
2016/1/2,1,1,1,normal,normal,info,26,英甲,2016/1/2 23:00,吉灵汉姆,布拉德福德,吉灵汉姆,布拉德福德城,2.2,3.2,2.8,4.7,4,1.5,-1,3:0,3,0,3,3
2016/1/2,1,1,1,normal,normal,info,27,英甲,2016/1/2 23:00,奥德汉姆,科尔切斯特联,奥德汉姆,科切斯特联,2.08,3.25,2.98,4.35,3.9,1.56,-1,1:1,1,1,1,0
2016/1/2,1,1,1,normal,normal,info,28,英甲,2016/1/2 23:00,维尔港,斯文登,维尔港,斯文登,1,1,1,1,1,1,-1,延期                                                                                            :,延期                                                                                            ,,3,3
2016/1/2,1,1,1,normal,normal,info,29,英甲,2016/1/2 23:00,斯肯索普,维冈竞技,斯肯索普,维冈竞技,3.06,3.2,2.06,1.57,3.75,4.45,1,1:1,1,1,1,3
2016/1/2,1,1,1,normal,normal,info,30,英甲,2016/1/2 23:00,谢菲尔德联,彼得堡联,谢菲联,彼得堡联,2.14,3.4,2.76,4.4,4.05,1.53,-1,2:3,2,3,0,0
2016/1/2,1,1,1,normal,normal,info,31,英甲,2016/1/2 23:00,南安联,唐卡斯特,南安联,唐卡斯特,2.14,3.2,2.9,4.55,3.9,1.53,-1,0:3,0,3,0,0
2016/1/2,1,1,1,normal,normal,info,32,英甲,2016/1/2 23:00,沃尔索尔,罗奇代尔,沃尔索尔,罗奇代尔,1.95,3.25,3.3,4.05,3.7,1.64,-1,0:3,0,3,0,0
2016/1/2,1,,1,未开售,normal,info,33,西甲,2016/1/2 23:00,西班牙人,巴塞罗那,西班牙人,巴塞罗那,0,0,0,2.45,3.8,2.19,2,0:0,0,0,1,3
2016/1/2,1,1,1,normal,normal,info,34,苏超,2016/1/2 23:00,凯尔特人,帕尔蒂克,凯尔特人,帕尔蒂克,1.15,5.75,12.5,1.63,3.8,3.95,-1,1:0,1,0,3,1
2016/1/2,1,1,1,normal,normal,info,35,苏超,2016/1/2 23:00,因弗内斯,罗斯郡,伊凡尼斯,罗斯郡,2.63,3.2,2.32,1.45,4.1,5.1,1,2:0,2,0,3,3
2016/1/2,1,1,1,normal,normal,info,36,苏超,2016/1/2 23:00,基尔马诺克,哈茨,基马诺克,哈茨,4.3,3.75,1.6,2.01,3.65,2.8,1,2:2,2,2,1,3
2016/1/2,1,1,1,normal,normal,info,37,苏超,2016/1/2 23:00,马瑟韦尔,汉密尔顿,马瑟韦尔,汉密尔顿,2.05,3.3,3,4.3,3.8,1.58,-1,3:3,3,3,1,0
2016/1/2,1,1,1,normal,normal,info,38,葡超,2016/1/3 0:00,科英布拉大学,马德拉,科英布拉大学,马德拉,2.14,2.9,3.2,5.05,3.6,1.53,-1,3:1,3,1,3,3
